Ticker,Name,Type,Shares,Buy rate ($/unit),Current rate ($/unit),Cost basis,Current value,Total profit,Today Gain,Today Gain (%)
AAPL,Apple Inc.,EQUITY,0.271783,183.96,226.30999755859375,49.99720068,61.50721006646729,11.510009386467289,1.293686416467282,2.148498108144319
AMZN,"Amazon.com, Inc.",EQUITY,1.0,187.56,199.99000549316406,187.56,199.99000549316406,12.43000549316406,2.400005493164059,1.2146391483192769
DELL,Dell Technologies Inc.,EQUITY,1.019699,154.51,138.9600067138672,157.55369248999997,141.69737988612366,-15.856312603876319,-3.78307644387633,-2.6004018266859186
FLIN,Franklin FTSE India ETF,ETF,5.0,39.4,40.560001373291016,197.0,202.80000686645508,5.800006866455078,0.5000068664550739,0.24716108079835586
GOOGL,Alphabet Inc.,EQUITY,0.285176,175.32,190.58999633789062,49.99705632,54.351692795654294,4.354636475654296,1.3602884756542988,2.5669983521099082
NVDA,NVIDIA Corporation,EQUITY,2.0,119.86,125.80000305175781,239.72,251.60000610351562,11.880006103515626,-4.959993896484377,-1.9332685907718965
SCHG,Schwab U.S. Large-Cap Growth ET,ETF,1.536072,100.77,104.36000061035156,154.78997544,160.30447485754397,5.514499417543959,1.7357622975439393,1.0946436213809536
SIRI,Sirius XM Holdings Inc.,EQUITY,2.0,2.9,3.7149999141693115,5.8,7.429999828338623,1.6299998283386232,0.36999982833862344,5.240790769668887
SMH,VanEck Semiconductor ETF,ETF,0.59,268.41,269.7300109863281,158.36190000000002,159.1407064819336,0.7788064819335716,0.06490648193359107,0.040802235119101124
UPRO,ProShares UltraPro S&P 500,ETF,1.0,78.35,81.1500015258789,78.35,81.1500015258789,2.800001525878912,1.3700015258789051,1.717224274102413
VOO,Vanguard S&P 500 ETF,ETF,0.480683,502.87,509.82000732421875,241.72106021000002,245.06181058062745,3.3407503706274326,1.4468593506274403,0.5939123782519579
