Ticker,Name,Type,Shares,Buy rate ($/unit),Current rate ($/unit),Cost basis,Current value,Total profit,Today Gain,Today Gain (%)
NVDA,NVIDIA Corporation,EQUITY,2.0,119.86,132.2,239.72,264.4,24.67999999999998,8.0,3.1201248049921997
AAPL,Apple Inc.,EQUITY,0.272,183.97,229.0,50.039840000000005,62.288000000000004,12.248159999999999,0.32096000000000185,0.517952769730492
AMZN,"Amazon.com, Inc.",EQUITY,3.0,196.29,199.5,588.87,598.5,9.629999999999995,0.6300000000000239,0.1053740779768217
SCHG,Schwab U.S. Large-Cap Growth ET,ETF,2.0,101.63,105.0,203.26,210.0,6.740000000000009,1.0200000000000102,0.4880849842090201
FLIN,Franklin FTSE India ETF,ETF,5.0,39.4,40.73,197.0,203.64999999999998,6.649999999999977,1.29999999999999,0.6424511984185768
GOOGL,Alphabet Inc.,EQUITY,0.285,175.33,189.522,49.969049999999996,54.013769999999994,4.044719999999998,0.1402199999999972,0.2602761466433848
VOO,Vanguard S&P 500 ETF,ETF,0.481,502.89,511.01,241.89009,245.79581,3.9057200000000023,0.32708000000000326,0.13324711461211508
SMH,VanEck Semiconductor ETF,ETF,0.59,268.41,275.21,158.36190000000002,162.3739,4.011999999999972,0.59,0.36468400131286244
UPRO,ProShares UltraPro S&P 500,ETF,1.0,78.35,81.68,78.35,81.68,3.3300000000000125,0.3100000000000023,0.38097578960305056
HD,"Home Depot, Inc. (The)",EQUITY,1.0,338.84,337.09,338.84,337.09,-1.75,-2.5100000000000477,-0.7391048292108503
SIRI,Sirius XM Holdings Inc.,EQUITY,9.405,3.19,3.39,30.001949999999997,31.882949999999997,1.8810000000000002,1.316700000000001,4.307692307692312
DELL,Dell Technologies Inc.,EQUITY,3.025,146.98,146.42,444.61449999999996,442.92049999999995,-1.6940000000000168,1.3612499999999657,0.30828252380625376
